Name,Source File,Source Path,Session,FORCE_PROCESS,Duration,Fullpath,ESTA,ESTA_DECORNAME,INGEST_MANUEL,INGESTATOR,errors,error
NJ-192206-01-1-E1C2,B047C001_250304_R5KF.mov,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\,250403_EQ1_AM,FALSE,00:01:49:07,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\B047C001_250304_R5KF.mov,FALSE,,FALSE,FALSE,[],
NJ-192206-02-1-E1C2,B047C002_250304_R5KF.mov,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\,250403_EQ1_AM,FALSE,00:01:31:19,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\B047C002_250304_R5KF.mov,FALSE,,FALSE,FALSE,[],
NJ-192206-03-1-E1C2,B047C003_250304_R5KF.mov,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\,250403_EQ1_AM,FALSE,00:02:02:10,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\B047C003_250304_R5KF.mov,FALSE,,FALSE,FALSE,[],
NJ-192206-03-2-E1C2,B047C004_250304_R5KF.mov,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\,250403_EQ1_AM,FALSE,00:02:23:23,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\B047C004_250304_R5KF.mov,FALSE,,FALSE,FALSE,[],
NJ-192206-04-1-E1C2,B047C005_250304_R5KF.mov,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\,250403_EQ1_AM,FALSE,00:02:34:06,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\B047C005_250304_R5KF.mov,FALSE,,FALSE,FALSE,[],
NJ-192206-04-2-E1C2,B047C006_250304_R5KF.mov,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\,250403_EQ1_AM,FALSE,00:02:12:20,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\B047C006_250304_R5KF.mov,FALSE,,FALSE,FALSE,[],
NJ-192206-05-1-E1C2,B047C007_250304_R5KF.mov,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\,250403_EQ1_AM,FALSE,00:01:47:04,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\B047C007_250304_R5KF.mov,FALSE,,FALSE,FALSE,[],
NJ-192206-07-1-E1C2,B047C008_250304_R5KF.mov,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\,250403_EQ1_AM,FALSE,00:01:24:22,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\B047C008_250304_R5KF.mov,FALSE,,FALSE,FALSE,[],
NJ-192207-01-1-E1C2,B047C009_250304_R5KF.mov,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\,250403_EQ1_AM,FALSE,00:02:35:18,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\B047C009_250304_R5KF.mov,FALSE,,FALSE,FALSE,[],
NJ-192207-01-2-E1C2,B047C010_250304_R5KF.mov,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\,250403_EQ1_AM,FALSE,00:01:22:22,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\B047C010_250304_R5KF.mov,FALSE,,FALSE,FALSE,[],
NJ-192207-02-1-E1C2,B047C011_250304_R5KF.mov,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\,250403_EQ1_AM,FALSE,00:02:56:13,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\B047C011_250304_R5KF.mov,FALSE,,FALSE,FALSE,[],
NJ-192207-02-2-E1C2,B047C012_250304_R5KF.mov,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\,250403_EQ1_AM,FALSE,00:01:31:18,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\B047C012_250304_R5KF.mov,FALSE,,FALSE,FALSE,[],
NJ-192207-03-1-E1C2,B047C013_250304_R5KF.mov,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\,250403_EQ1_AM,FALSE,00:01:30:19,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\B047C013_250304_R5KF.mov,FALSE,,FALSE,FALSE,[],
NJ-192207-03-2-E1C2,B047C014_250304_R5KF.mov,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\,250403_EQ1_AM,FALSE,00:01:31:10,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\B047C014_250304_R5KF.mov,FALSE,,FALSE,FALSE,[],
NJ-193707-01-1-E1C2,B047C015_250304_R5KF.mov,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\,250403_EQ1_AM,FALSE,00:01:41:15,Y:\RUSHES_EXAMPLE\CAM B\AM\B047R5KF\B047C015_250304_R5KF.mov,FALSE,,FALSE,FALSE,[],
