Name,Source File,Source Path,Session,FORCE_PROCESS,Duration,Fullpath,ESTA_DECORNAME,INGEST_MANUEL,INGESTATOR,errors,error
NJ-000411A-1-E1Odio-01,A014C001_250428_R1D1.mov,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\CAM A\A014R1D1\,250428_EQ1_PM,FALSE,00:01:50:06,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\CAM A\A014R1D1\A014C001_250428_R1D1.mov,,FALSE,,['Verifier le nommage car cela semble ne pas etre un son'],Verifier le nommage car cela semble ne pas etre un son
NJ-000411A-1-E1Odio-01,4-11a-1T01.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:02:54:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\4-11a-1T01.wav,,FALSE,,[],
NJ-000411A-1-E1Odio-02,4-11a-1T02.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:02:21:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\4-11a-1T02.wav,,FALSE,,[],
NJ-000411A-1-E1Odio-03,4-11a-1T03.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:02:20:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\4-11a-1T03.wav,,FALSE,,[],
NJ-000411A-1-E1Odio-04,4-11a-1T04.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:02:04:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\4-11a-1T04.wav,,FALSE,,[],
NJ-000411A-1-E1Odio-05,4-11a-1T05.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:02:02:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\4-11a-1T05.wav,,FALSE,,[],
NJ-000411A-2-E1Odio-01,4-11a-2T01.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:02:12:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\4-11a-2T01.wav,,FALSE,,[],
NJ-000411A-2-E1Odio-02,4-11a-2T02.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:01:08:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\4-11a-2T02.wav,,FALSE,,[],
NJ-000411A-2-E1Odio-03,4-11a-2T03.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:01:36:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\4-11a-2T03.wav,,FALSE,,[],
NJ-000411A-3-E1Odio-01,4-11a-3T01.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:02:03:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\4-11a-3T01.wav,,FALSE,,[],
NJ-000411A-3-E1Odio-02,4-11a-3T02.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:01:19:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\4-11a-3T02.wav,,FALSE,,[],
NJ-000411A-3-E1Odio-00-SS,4-11a-3T03.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:01:46:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\4-11a-3T03.wav,,FALSE,,[],
NJ-000411B-1-E1Odio-01,4-11b-1T01.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:01:36:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\4-11b-1T01.wav,,FALSE,,[],
NJ-000411B-1-E1Odio-02,4-11b-1T02.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:02:00:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\4-11b-1T02.wav,,FALSE,,[],
NJ-000411B-1-E1Odio-03,4-11b-1T03.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:02:09:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\4-11b-1T03.wav,,FALSE,,[],
NJ-000411B-2-E1Odio-01,4-11b-2T01.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:02:11:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\4-11b-2T01.wav,,FALSE,,[],
NJ-000411B-2-E1Odio-02,4-11b-2T02.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:02:01:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\4-11b-2T02.wav,,FALSE,,[],
NJ-000909-1-E1Odio-01,9-9-1T01.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:01:14:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\9-9-1T01.wav,,FALSE,,[],
NJ-000909-1-E1Odio-02,9-9-1T02.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:01:39:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\9-9-1T02.wav,,FALSE,,[],
NJ-000909-1-E1Odio-03,9-9-1T03.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:01:50:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\9-9-1T03.wav,,FALSE,,[],
NJ-000909-1-E1Odio-04,9-9-1T04.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:02:31:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\9-9-1T04.wav,,FALSE,,[],
NJ-000909-2-E1Odio-01,9-9-2T01.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:01:27:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\9-9-2T01.wav,,FALSE,,[],
NJ-000909-2-E1Odio-02,9-9-2T02.wav,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\,250428_EQ1_PM,FALSE,00:01:33:00,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\SON\25Y04M28\9-9-2T02.wav,,FALSE,,[],
NJ-000411A-1-E1C1-02,A014C002_250428_R1D1.mov,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\CAM A\A014R1D1\,250428_EQ1_PM,FALSE,00:01:43:21,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\CAM A\A014R1D1\A014C002_250428_R1D1.mov,,FALSE,,[],
NJ-000411A-1-E1C1-03,A014C003_250428_R1D1.mov,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\CAM A\A014R1D1\,250428_EQ1_PM,FALSE,00:01:59:13,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\CAM A\A014R1D1\A014C003_250428_R1D1.mov,,FALSE,,[],
NJ-000411A-1-E1C1-04,A014C004_250428_R1D1.mov,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\CAM A\A014R1D1\,250428_EQ1_PM,FALSE,00:01:39:01,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\CAM A\A014R1D1\A014C004_250428_R1D1.mov,,FALSE,,[],
NJ-000411A-1-E1C1-05,A014C005_250428_R1D1.mov,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\CAM A\A014R1D1\,250428_EQ1_PM,FALSE,00:01:29:24,C:\Volumes\NJ_NATIFS-BACKUP\250428-250502 - Semaine 003\250428_EQA_PM\CAM A\A014R1D1\A014C005_250428_R1D1.mov,,FALSE,,[],
